year,make,model,variant,body_type,no_of_seats,build_date,compliance_date,vin,rego_no,rego_state,rego_expiry,no_of_plates,no_of_cylinders,engine_capacity,fuel_type,transmission,odometer_reading,odometer_unit,exterior_colour,interior_colour,key,spare_key,owners_manual,service_history,engine_turns_over,location,url,general_condition,features_list,bids,price,time_remaining_or_date_sold,status
2018,Ford,Ranger,XL 4X2 Hi-Rider Turbo Diesel Automatic Crew Cab Chassis,Crew Cab Chassis,5.0,2018-01,2018-02,MPBUMEF80JX150663,YHZ52N,NSW,"Sold Unregistered, Without Plates",,4,2.2,Diesel,Automatic,79431,km,Silver,Black,Yes,Yes,Yes,Yes,Yes,NSW,https://www.grays.com/lot/0001-10349788/motor-vehicles-motor-cycles/2018-ford-ranger-xl-4x2-hi-rider-turbo-diesel-automatic-crew-cab-chassis,Please refer to the photos or arrange inspection to view the condition of this vehicle.,"Air Conditioning, Bluetooth Capability, CD Player, Central Locking, Cruise Control, Driver Airbag, Electric Windows, Hill Holder System, MP3 Capability, Power Steering, Crash Test Star Rating 5, Location: Rear of 5 Holbeche Road, Arndell Park, NSW, 2148, Key No: 490",39.0,"$8,200",1d 3h 21m23s,active
2021,Mitsubishi,Eclipse,Cross ES 2WD YB CVT Wagon,Wagon,5.0,2021-11,2022-01 Rav date,JMFXTGK1WNZ002260,DC51XF,NSW,"Sold Unregistered, Without Plates",,4,1.5,Petrol,CVT,73749,km,Blue,Grey,Yes,Yes,Yes,Yes,Yes,NSW,https://www.grays.com/lot/0001-10349789/motor-vehicles-motor-cycles/2021-mitsubishi-eclipse-cross-es-2wd-yb-cvt-wagon,Please refer to the photos or arrange inspection to view the condition of this vehicle.,"Air Conditioning, Bluetooth Capability, Central Locking, Climate Control, Cruise Control, Driver Airbag, Electric Windows, Hill Holder System, MP3 Capability, Power Steering, Reversing Camera, Crash Test Star Rating 5, Location: Rear of 5 Holbeche Road, Arndell Park, NSW, 2148, Key No: 527",48.0,"$16,200",1d 3h 21m18s,active
2018,Mazda,CX-8,SPORT AWD KG Turbo Diesel Automatic 7 Seats Wagon,Wagon,7.0,2018-09,2018-10,JM0KG4W2A00101881,DYP74V,NSW,"Sold Unregistered, Without Plates",,4,2.2,Diesel,Automatic,191140,km,Black,Black,Yes,No,Yes,Yes,Yes,NSW,https://www.grays.com/lot/0001-10349791/motor-vehicles-motor-cycles/2018-mazda-cx-8-sport-awd-kg-turbo-diesel-automatic-7-seats-wagon,Please refer to the photos or arrange inspection to view the condition of this vehicle.,"Air Conditioning, Bluetooth Capability, Central Locking, Climate Control, Cruise Control, Driver Airbag, Electric Windows, Hill Holder System, MP3 Capability, Park Distance Control Rear, Power Steering, Reversing Camera, Roof Rail, Satellite navigation system, Third Row Seat, Crash Test Star Rating 5, Location: Rear of 5 Holbeche Road, Arndell Park, NSW, 2148, Key No: 537",89.0,"$6,800",3h 36m7s,active
2012,Volvo,XC60,T5 Automatic Wagon - Pinkslip Issued 14/7/25,Wagon,5.0,2012-02,2012-03,YV1DZ475BC2311438,CIP79B,NSW,03-10-2025. Registration will only be transferred to the registered bidder who must hold a valid NSW Drivers Licence otherwise vehicle will be sold unregistered.,2.0,4,2,Petrol,Automatic - 4 Speed,92347,km,Black,Cream,Yes,No,Yes,Yes,Yes,NSW,https://www.grays.com/lot/0001-10349792/motor-vehicles-motor-cycles/2012-volvo-xc60-t5-automatic-wagon-pinkslip-issued-14-7-25,Please refer to the photos or arrange inspection to view the condition of this vehicle.,"Air Conditioning, Bluetooth Capability, CD Player, Central Locking, Climate Control, Cruise Control, Driver Airbag, Electric Windows, Leather Trim, MP3 Capability, Park Distance Control Rear, Power Steering, Reversing Camera, Roof Rail, Crash Test Star Rating 5, Location: Rear of 5 Holbeche Road, Arndell Park, NSW, 2148, Key No: 356",0.0,"$5,000",3h 20m56s,active
2003,Porsche,Cayenne,S Automatic Wagon,Wagon,5.0,2003-09,2005-01,WP1ZZZ9PZ4LA45470,No plates,NSW,"Sold Unregistered, Without Plates",,8,4.5,Petrol,Automatic,181550,km,Silver,Black,Yes,No,Yes,No,Yes,NSW,https://www.grays.com/lot/0001-10349793/motor-vehicles-motor-cycles/2003-porsche-cayenne-s-automatic-wagon,Please refer to the photos or arrange inspection to view the condition of this vehicle.,"Air Conditioning, Central Locking, Climate Control, Cruise Control, Driver Airbag, Electric Windows, Leather Trim, Park Distance Control Front, Park distance control rear, Power Steering, Roof rail, Sunroof, Location: Rear of 5 Holbeche Road, Arndell Park, NSW, 2148, Key No: 080",0.0,"$5,000",2d 3h 35m50s,active
2006,Mercedes,Benz,A170 Classic W169 CVT Hatchback,Hatchback,5.0,2006-11,2007-01,WDD1690322J408168,BAW23F,NSW,"Sold Unregistered, Without Plates",,4,1.7,Petrol,CVT,138413,km,White,Black,Yes,No,Yes,Yes,Yes,NSW,https://www.grays.com/lot/0001-10349794/motor-vehicles-motor-cycles/2006-mercedes-benz-a170-classic-w169-cvt-hatchback,Please refer to the photos or arrange inspection to view the condition of this vehicle.,"Air Conditioning, Bluetooth capability, CD Player, Central Locking, Driver Airbag, Electric Windows, Power Steering, Crash Test Star Rating 5, Location: Rear of 5 Holbeche Road, Arndell Park, NSW, 2148, Key No: 047",0.0,$9,2d 3h 35m42s,active
2014,Hyundai,Santa,Fe Elite CRDi (4x4) DM Turbo Diesel Auto 7 Seats Wagon,Wagon,7.0,2014-02,2014-03,KMHSU81XSEU303971,BZ15MD,NSW,"Sold Unregistered, Without Plates",,4,2.2,Diesel,Automatic,168383,km,Black,Black,Yes,Yes,Yes,Yes,Yes,NSW,https://www.grays.com/lot/0001-10349795/motor-vehicles-motor-cycles/2014-hyundai-santa-fe-elite-crdi-4x4-dm-turbo-diesel-auto-7-seats-wagon,Please refer to the photos or arrange inspection to view the condition of this vehicle.,"Air Conditioning, Auto Control, Bluetooth Capability, CD Player, Central Locking, Climate Control, Cruise Control, Driver Airbag, Electric Windows, Hill Holder System, Leather Trim, MP3 Capability, Park Distance Control Rear, Power Steering, Reversing Camera, Roof rail/roof rack, Satellite navigation system, Third Row Seat, Crash Test Star Rating 5, Location: Rear of 5 Holbeche Road, Arndell Park, NSW, 2148, Key No: 131",24.0,"$3,500",2d 3h 35m33s,active
2013,BMW,1,Series 118i F20 Automatic - 8 Speed Hatchback,Hatchback,5.0,2013-09,2013-12,WBA1A32030J070986,CSD18X,NSW,"Sold Unregistered, Without Plates",,4,1.6,Petrol,Automatic - 8 Speed,141912,km,White,Black,Yes,No,Yes,Yes,Yes,NSW,https://www.grays.com/lot/0001-10349796/motor-vehicles-motor-cycles/2013-bmw-1-series-118i-f20-automatic-8-speed-hatchback,Please refer to the photos or arrange inspection to view the condition of this vehicle.,"Air Conditioning, Bluetooth Capability, CD Player, Central Locking, Climate Control, Cruise Control, Driver Airbag, Electric Windows, Leather trim, MP3 Capability, Park Distance Control Front, Park Distance Control Rear, Power Steering, Reversing Camera, Satellite navigation system, Crash Test Star Rating 5, Location: Rear of 5 Holbeche Road, Arndell Park, NSW, 2148, Key No: 503",1.0,$9,2d 3h 35m24s,active
2012,Volkswagen,Tiguan,103 TDI 5N Turbo Diesel Automatic Wagon,Wagon,5.0,2012-04,2012-06,WVGZZZ5NZCW086778,DN27SV,NSW,"Sold Unregistered, Without Plates",,4,2,Diesel,Automatic,174955,km,Gold,Cream,Yes,Yes,Yes,Yes,Yes,NSW,https://www.grays.com/lot/0001-10349799/motor-vehicles-motor-cycles/2012-volkswagen-tiguan-103-tdi-5n-turbo-diesel-automatic-wagon,Please refer to the photos or arrange inspection to view the condition of this vehicle.,"Air Conditioning, Bluetooth Capability, CD Player, Central Locking, Cruise Control, Driver Airbag, Electric Windows, Heated Front Seats, Hill Holder System, Leather trim, MP3 Capability, Park distance control rear, Power Steering, Roof Rail, Crash Test Star Rating 5, Location: Rear of 5 Holbeche Road, Arndell Park, NSW, 2148, Key No: 413",0.0,$9,2d 3h 35m19s,active
2014,BMW,5,Series 520d F10 LCI Turbo Diesel Automatic - 8 Speed Sedan,Sedan,5.0,2014-04,Unable to read,WBA5C32090D634652,No plates,QLD,"Sold Unregistered, Without Plates",,4,2,Diesel,Automatic - 8 Speed,191974,km,Grey,Black,Yes,No,No,No,Yes,NSW,https://www.grays.com/lot/0001-10349800/motor-vehicles-motor-cycles/2014-bmw-5-series-520d-f10-lci-turbo-diesel-automatic-8-speed-sedan,"Dents or marks on body consistent with age and kilometres.
Large Dent on Roof, driver side front pillar","Air Conditioning, Bluetooth Capability, CD Player, Central Locking, Climate Control, Cruise Control, Driver Airbag, Electric Windows, Heated front seats, Hill Holder System, Leather Trim, MP3 Capability, Park Distance Control Front, Park Distance Control Rear, Power Steering, Reversing Camera, Satellite navigation system, Sunroof, Crash Test Star Rating 5, Location: Rear of 5 Holbeche Road, Arndell Park, NSW, 2148, Key No: 477",16.0,"$1,109",1d 3h 20m11s,active
