year,make,model,variant,body_type,no_of_seats,build_date,compliance_date,vin,rego_no,rego_state,rego_expiry,no_of_plates,no_of_cylinders,engine_capacity,fuel_type,transmission,odometer_reading,odometer_unit,exterior_colour,interior_colour,key,spare_key,owners_manual,service_history,engine_turns_over,location,url,general_condition,features_list,bids,price,time_remaining_or_date_sold,status
2022,Jeep,Compass,S-LIMITED BG 9 auto Wagon (WOVR - Inspected),Wagon,5.0,2022-08,2022-11,MCANJREB9NFA97235,2BY1GS,VIC,04/08/2025 - Registration will only be transferred to the registered bidder who must hold a valid VIC Drivers Licence otherwise vehicle will be sold unregistered.,2.0,4.0,2.4,Petrol,,42963,km,Black,Black Leather,Yes,No,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21050530/motor-vehicles-motor-cycles/2022-jeep-compass-s-limited-bg-9-auto-wagon-wovr-inspected,Dents or marks on body consistent with age and kilometres.,"Air Conditioning, Auto Control, Bluetooth Capability, Central Locking, Climate Control, Cruise Control, Driver Airbag, Electric Windows, Hill Holder System, Leather Trim, MP3 Capability, Park Distance Control Front, Park Distance Control Rear, Parking Assist System, Power Steering, Reversing Camera, Roof Rail, Crash Test Star Rating 5, Location: 140-152 National Drive, Dandenong South, VIC, 3175, Key No: 546",198.0,,,referred
2010,Hyundai,iLOAD,TQ Manual Van,Van,3.0,2010-06,2010-09,KMFWBX7RLAU267896,XYV676,VIC,30-06-2025 - Registration will only be transferred to the registered bidder who must hold a valid VIC Drivers Licence otherwise vehicle will be sold unregistered.,2.0,4.0,2.4,Petrol,Manual,371081,km,White,Grey,Yes,No,No,No,Yes,VIC,https://www.grays.com/lot/0001-21050644/motor-vehicles-motor-cycles/2010-hyundai-iload-tq-manual-van,"Large Dent on All around
Corrosion visible Rear door
Medium Scratch on All around
Airbag light ON
Seat Torn Driver seat","Air Conditioning, CD Player, Central Locking, Driver Airbag, Electric Windows, MP3 Capability, Park Distance Control Rear, Power Steering, Roof Rail, Crash Test Star Rating 4, Location: 140-152 National Drive, Dandenong South, VIC, 3175, Key No: 1267s (349660)",15.0,,,referred
2015,Jeep,Grand,Cherokee SRT WK Automatic - 8 Speed Wagon,Wagon,5.0,2015-06,2015-08,1C4RJFHJ6FC902339,1FC1EB,VIC,28-02-2026 - Registration will only be transferred to the registered bidder who must hold a valid VIC Drivers Licence otherwise vehicle will be sold unregistered.,2.0,8.0,6.4,Petrol,Automatic - 8 Speed,190551,km,White,Black,Yes,Yes,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21050798/motor-vehicles-motor-cycles/2015-jeep-grand-cherokee-srt-wk-automatic-8-speed-wagon,Dents or marks on body consistent with age and kilometres.,"Air Conditioning, Auto Control, Bluetooth Capability, CD Player, Central Locking, Climate Control, Cruise Control, Driver Airbag, Electric Windows, Heated Front Seats, Hill Holder System, Leather Trim, MP3 Capability, Park Distance Control Front, Park Distance Control Rear, Power Steering, Reversing Camera, Roof Rail, Satellite Navigation System, Sunroof, N/I, Location: 140-152 National Drive, Dandenong South, VIC, 3175, Key No: 443A (348665)",280.0,,,referred
2009,Audi,Q7,4.2 TDI quattro Turbo Diesel Automatic 7 Seats Wagon,Wagon,7.0,2009-01,2009-03,WAUZZZ4L59D033357,No plates,VIC,"Sold Unregistered, Without Plates",0.0,8.0,4.1,Diesel,Automatic,198123,km,Black,Black Leather,Yes,Yes,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21050799/motor-vehicles-motor-cycles/2009-audi-q7-4-2-tdi-quattro-turbo-diesel-automatic-7-seats-wagon,Dents or marks on body consistent with age and kilometres.,"Air Conditioning, Bluetooth Capability, CD Player, Central Locking, Climate Control, Cruise Control, Driver Airbag, Electric Windows, Leather Trim, MP3 Capability, Power Steering, Reversing Camera, Roof Rail, Satellite Navigation System, Sunroof, Crash Test Star Rating 4, Location: 140-152 National Drive, Dandenong South, VIC, 3175, Key No: 452 (349797)",59.0,,,referred
2010,BMW,3,20d Lifestyle E90 Turbo Diesel Automatic Sedan (Complied 2011),Sedan,5.0,2010-11,2011-01,WBAPP16030NN40305,1UQ2JL,VIC,22-06-2025 - Registration will only be transferred to the registered bidder who must hold a valid VIC Drivers Licence otherwise vehicle will be sold unregistered.,2.0,4.0,2.0,Diesel,Automatic,180316,km,Black,Black Leather,Yes,Yes,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21050928/motor-vehicles-motor-cycles/2010-bmw-3-20d-lifestyle-e90-turbo-diesel-automatic-sedan-complied-2011,"Dents or marks on body consistent with age and kilometres.
Large Dent on On the boot","Air Conditioning, Bluetooth Capability, CD Player, Central Locking, Climate Control, Cruise Control, Driver Airbag, Electric Windows, Leather Trim, MP3 Capability, Park Distance Control Rear, Power Steering, Crash Test Star Rating 5, Location: 140-152 National Drive, Dandenong South, VIC, 3175, Key No: 596 (343490)",0.0,,,referred
2013,Ford,Territory,Titanium (4x4) SZ Turbo Diesel Automatic 7 Seats Wagon,Wagon,7.0,2013-11,2013-11,6FPAAAJGATDD50606,1AM7RZ,VIC,29-05-2026 - Registration will only be transferred to the registered bidder who must hold a valid VIC Drivers Licence otherwise vehicle will be sold unregistered.,2.0,6.0,2.7,Diesel,Automatic,170158,km,Black,Black Leather,Yes,No,Yes,No,Yes,VIC,https://www.grays.com/lot/0001-21050937/motor-vehicles-motor-cycles/2013-ford-territory-titanium-4x4-sz-turbo-diesel-automatic-7-seats-wagon,"Front Seat Scratches Both seats
Dents or marks on body consistent with age and kilometres.
Medium Scratch on Various along panel","Air Conditioning, Bluetooth Capability, CD Player, Central Locking, Climate Control, Cruise Control, Driver Airbag, Electric Windows, Leather Trim, MP3 Capability, Park Distance Control Rear, Power Steering, Reversing Camera, Roof Rail, Third Row Seat, Crash Test Star Rating 5, Location: 140-152 National Drive, Dandenong South, VIC, 3175, Key No: 221 (350016)",0.0,,,referred
2007,Toyota,Hilux,SR (4x4) KUN26R Turbo Diesel Manual Dual Cab,Dual Cab Chassis,5.0,2007-04,2007-05,MR0FZ22G901152344,No Plates,VIC,"Sold Unregistered, Without Plates",0.0,4.0,3.0,Diesel,Manual,260623,km,White,Grey,Yes,No,No,No,Yes,,https://www.grays.com/lot/0001-21050951/motor-vehicles-motor-cycles/2007-toyota-hilux-sr-4x4-kun26r-turbo-diesel-manual-dual-cab,"Airbag light ON
Seat Torn Front Drivers & Passenger Seats.
Large Dent on Drivers Side Rear Door.
Medium Dent on Drivers Side rear guard.
Large Dent on Rear Tailgate & Corners of Bumper.
Medium Scratch on Passenger Side Rear Guard.
Large Scratch on Passenger Side Front Bumper.
Dents or marks on body consistent with age and kilometres.","Air Conditioning, CD Player, Central Locking, Driver Airbag, Electric Windows, MP3 Capability, Power Steering, Crash Test Star Rating 4, Location: 591 Boundary Road (Enter from K&S Freighters on Palmers Road), Truganina Vic 3029., nspection Dates: Inspections Available Monday - Friday between 9:00am - 3:30pm (Excluding Public Holidays)., Collection Dates: Inspections Available Monday - Friday between 9:00am - 3:30pm (Excluding Public Holidays)., Key No: 131B (343757)",33.0,,,referred
2011,Toyota,Hilux,SR (4x4) KUN26R Turbo Diesel Manual Dual Cab,Dual Cab,5.0,2011-03,2011-04,MR0FZ22G701049990,,VIC,"Sold Unregistered, Without Plates",0.0,4.0,3.0,Diesel,Manual,311875,km,White,Grey,Yes,No,No,No,Yes,,https://www.grays.com/lot/0001-21050952/motor-vehicles-motor-cycles/2011-toyota-hilux-sr-4x4-kun26r-turbo-diesel-manual-dual-cab,"Seat Torn Drivers Seat.
Large Dent on Passenger Side Front Guard.
Large Scratch on Passenger Side Rear Door &amp; Rear Guard.
Large Dent on Passenger Side Rear Guard / Bumper Corner.
Medium Dent on Rear Tailgate.
Large Dent on Drivers Side Rear Guard / Bumper Corner.
Paint peeling Bonnet.
Dents or marks on body consistent with age and kilometres.","Air Conditioning, Bluetooth Capability, Bull Bar, CD Player, Central Locking, Driver Airbag, Electric Windows, MP3 Capability, Power Steering, Reversing Camera, Crash Test Star Rating 4, Location: 591 Boundary Road (Enter from K&S Freighters on Palmers Road), Truganina Vic 3029., nspection Dates: Inspections Available Monday - Friday between 9:00am - 3:30pm (Excluding Public Holidays)., Collection Dates: Inspections Available Monday - Friday between 9:00am - 3:30pm (Excluding Public Holidays)., Key No: 2B",56.0,,,referred
2011,Toyota,Hilux,SR (4x4) KUN26R Turbo Diesel Manual Crew Cab Chassis,Crew Cab Chassis,5.0,12-2010,01-2011,MR0FZ22G401044598,No plates,VIC,"Sold Unregistered, Without Plates",,4.0,3.0,Diesel,Manual,215962,km,White,Grey,Yes,No,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21050953/motor-vehicles-motor-cycles/2011-toyota-hilux-sr-4x4-kun26r-turbo-diesel-manual-crew-cab-chassis,"Large Dent on Multiple locations all of body
Medium Dent on Side steps both sides
Dents or marks on body consistent with age and kilometres.
Corrosion visible Various locations
Damaged All exterior lights damaged
Seat Torn All seats torn","Air Conditioning, Bluetooth Capability, Bull Bar, CD Player, Central Locking, Driver Airbag, Electric Windows, MP3 Capability, Power Steering, Crash Test Star Rating 4, Location: 591 Boundary rd Truganina Vic 3029, Key No: 83B",41.0,,,referred
2008,Toyota,Hilux,SR (4x4) KUN26R Turbo Diesel Manual Dual Cab,Dual Cab,5.0,2008-05,2008-05,MR0FZ22G701017928,no plates,VIC,"Sold Unregistered, Without Plates",0.0,4.0,3.0,Diesel,Manual,295514,km,White,Grey,Yes,No,No,No,Yes,,https://www.grays.com/lot/0001-21050954/motor-vehicles-motor-cycles/2008-toyota-hilux-sr-4x4-kun26r-turbo-diesel-manual-dual-cab,"Medium Dent on Passenger Side Doors (both)
Medium Scuff on Passenger Side rear door.
Seat Torn Front Driver &amp;amp; Passenger Seats.
Paint peeling Bonnet
Windscreen Chipped or Cracked.
Dents or marks on body consistent with age and kilometres.
Large Dent on Drivers side front guard & door","Air Conditioning, Bull Bar, CD Player, Central Locking, Driver Airbag, Electric Windows, MP3 Capability, Power Steering, Crash Test Star Rating 4, Location: 591 Boundary Road (Enter from K&S Freighters on Palmers Road), Truganina Vic 3029., nspection Dates: Inspections Available Monday - Friday between 9:00am - 3:30pm (Excluding Public Holidays)., Collection Dates: Inspections Available Monday - Friday between 9:00am - 3:30pm (Excluding Public Holidays)., Key No: 119b (343683)",16.0,,,referred
