year,make,model,variant,body_type,no_of_seats,build_date,compliance_date,vin,rego_no,rego_state,rego_expiry,no_of_plates,no_of_cylinders,engine_capacity,fuel_type,transmission,odometer_reading,odometer_unit,exterior_colour,interior_colour,key,spare_key,owners_manual,service_history,engine_turns_over,location,url,general_condition,features_list,final_price,final_bids,date_sold,status,bids,price,time_remaining_or_date_sold
2015,Hyundai,Sonata,Active LF Automatic Sedan,Sedan,5.0,2015-06,2016-02,KMHE241FMFA153366,1GU1EQ,VIC,03-06-2025 - Registration will only be transferred to the registered bidder who must hold a valid VIC Drivers Licence otherwise vehicle will be sold unregistered.,2.0,4.0,2.4,Petrol,Automatic,405266,km,Silver,Black,Yes,Yes,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21050139/motor-vehicles-motor-cycles/2015-hyundai-sonata-active-lf-automatic-sedan,"Engine noise observed.
Unknown mechanical issues - requires inspection.
Scratches on front and rear bumper.
Dents or marks on body consistent with age and kilometres.
Front Cracked bumper.","Air Conditioning, Bluetooth Capability, CD Player, Central Locking, Cruise Control, Driver Airbag, Electric Windows, Hill Holder System, MP3 Capability, Park Distance Control Rear, Power Steering, Reversing Camera, Crash Test Star Rating 5, Location: 140-152 National Drive, Dandenong South, VIC, 3175, Key No: 299 (348641)",,,,sold,20.0,"$1,110",2025-06-26
2012,Jeep,Grand,Cherokee SRT-8 VAPOR LE WK Auto Wagon (RWC Issued 5-6-25),Wagon,5.0,2012-11,2013-01,1C4RJFHJ4DC589580,2BY4PX,,20-08-2025 - Registration will only be transferred to the registered bidder who must hold a valid VIC Licence otherwise vehicle will be sold unregistered.,0.0,8.0,6.4,Petrol,Automatic,203372,km,Black,Black Leather,Yes,Yes,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21050615/motor-vehicles-motor-cycles/2012-jeep-grand-cherokee-srt-8-vapor-le-wk-auto-wagon-rwc-issued-5-6-25,"Front Seat worn Drivers seat
Medium Scratch on RHF door","Air Conditioning, Auto Control, Bluetooth Capability, CD Player, Central Locking, Climate Control, Cruise Control, Driver Airbag, Electric Windows, Heated Front Seats, Hill Holder System, Leather Trim, MP3 Capability, Park Distance Control Front, Park Distance Control Rear, Power Steering, Reversing Camera, Roof Rails, Satellite Navigation, Sunroof, Location: 140-152 National Drive, Dandenong South, VIC, 3175, Key No: 71 (349322)",,,,sold,89.0,"$21,101",2025-06-26
2008,Holden,Astra,Twintop AH Automatic Convertible,Convertible,4.0,2008-05,2008-07,W0L0AHL6785129582,No plates,QLD,"Sold Unregistered, Without Plates",0.0,4.0,2.2,Petrol,Automatic,149230,km,Red,Black,Yes,No,No,No,Yes,VIC,https://www.grays.com/lot/0001-21050715/motor-vehicles-motor-cycles/2008-holden-astra-twintop-ah-automatic-convertible,Dents or marks on body consistent with age and kilometres.,"Air Conditioning, CD Player, Central Locking, Cruise Control, Driver Airbag, Electric Windows, Heated Front Seats, Leather Trim, Power Steering, Location: 140-152 National Drive, Dandenong South, VIC, 3175, Key No: 692 (349556)",,,,sold,20.0,"$1,509",2025-06-26
2013,Subaru,Forester,2.0D S4 Turbo Diesel Manual Wagon,Wagon,5.0,2013-09,2014-02,JF2SJDKZ3DG016469,No plates,VIC,"Sold Unregistered, Without Plates",0.0,4.0,2.0,Diesel,Manual,307611,km,Grey,Black,Yes,Yes,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21050738/motor-vehicles-motor-cycles/2013-subaru-forester-2-0d-s4-turbo-diesel-manual-wagon,Dents or marks on body consistent with age and kilometres.,"Air Conditioning, Bluetooth Capability, CD Player, Central Locking, Climate Control, Cruise Control, Driver Airbag, Electric Windows, Hill Holder System, MP3 Capability, Power Steering, Reversing Camera, Roof Rail, Crash Test Star Rating 5, Location: 140-152 National Drive, Dandenong South, VIC, 3175, Key No: 771 (349601)",,,,sold,21.0,"$1,809",2025-06-26
2018,Toyota,Corolla,Ascent Sport MZEA12R CVT WOVR-REPAIRABLE,Hatchback,5.0,2018-07,2018-07,JTNK43BE503006099,No plates,VIC,"Sold Unregistered, Without Plates",0.0,4.0,2.0,Petrol,CVT,51769,km,White,Black,Yes,No,No,No,Yes,VIC,https://www.grays.com/lot/0001-21050803/motor-vehicles-motor-cycles/2018-toyota-corolla-ascent-sport-mzea12r-cvt-wovr-repairable,Dents or marks on body consistent with age and kilometres.,"Air Conditioning, Bluetooth Capability, Central Locking, Cruise Control, Driver Airbag, Electric Windows, Hill Holder System, MP3 Capability, Power Steering, Reversing Camera, Satellite Navigation System, Crash Test Star Rating 5, Location: 140-152 National Drive, Dandenong South, VIC, 3175, Key No: 298 (346701)",,,,sold,64.0,"$9,500",2025-06-26
1991,Volkswagen,Caravelle,Automatic 7 Seats VAN,,7.0,1991-09,1992-02,WV2ZZZ25ZMG017716,No plates,VIC,"Sold Unregistered, Without Plates",0.0,4.0,2.1,Petrol,Automatic,339981,km,White,Grey,Yes,No,No,No,Yes,VIC,https://www.grays.com/lot/0001-21050839/motor-vehicles-motor-cycles/1991-volkswagen-caravelle-automatic-7-seats-van,"Dents or marks on body consistent with age and kilometres.
Medium Scuff on Various parts panel
Seats Removed
Overheating
Leaking head gasket","Location: 140-152 National Drive, Dandenong South, VIC, 3175, Key No: 1034 (349600)",,,,sold,16.0,"$1,509",2025-06-26
2013,Holden,Colorado,4X2 LT RG Turbo Diesel Manual Dual Cab,Dual Cab Chassis,5.0,2013-06,2013-10,MMU148EH0DH800201,1BK2EZ,VIC,"Sold Unregistered, Without Plates",0.0,4.0,2.8,Diesel,Manual,257623,km,White,Grey,Yes,No,No,Yes,Yes,VIC,https://www.grays.com/lot/0001-21050866/motor-vehicles-motor-cycles/2013-holden-colorado-4x2-lt-rg-turbo-diesel-manual-dual-cab,"Dents or marks on body consistent with age and kilometres.
Medium Scuff on Various","Air Conditioning, Bluetooth Capability, CD Player, Central Locking, Cruise Control, Driver Airbag, Electric Windows, MP3 Capability, Power Steering, Crash Test Star Rating 5, Location: 140-152 National Drive, Dandenong South, VIC, 3175, Key No: 1079",,,,sold,42.0,"$5,900",2025-06-26
2012,Ford,Territory,TX (RWD) SZ Turbo Diesel Automatic Wagon,Wagon,5.0,2012-06,2012-06,6FPAAAJGATCK80541,1NS1YF,VIC,10-08-2025 - Registration will only be transferred to the registered bidder who must hold a valid VIC Drivers Licence otherwise vehicle will be sold unregistered.,2.0,6.0,2.7,Diesel,Automatic,225824,km,Black,Black,Yes,Yes,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21050867/motor-vehicles-motor-cycles/2012-ford-territory-tx-rwd-sz-turbo-diesel-automatic-wagon,"Hood Lining Sagging
Dents or marks on body consistent with age and kilometres.
Medium Scratch on Around the car
Large Scuff on Front bumper","Air Conditioning, Bluetooth Capability, CD Player, Central Locking, Climate Control, Cruise Control, Driver Airbag, Electric Windows, MP3 Capability, Park Distance Control Rear, Power Steering, Roof Rail, Crash Test Star Rating 5, Location: 140-152 National Drive, Dandenong South, VIC, 3175, Key No: 952 (349557)",,,,sold,44.0,"$3,209",2025-06-26
2018,Nissan,Pathfinder,ST R52 CVT 7 Seats Wagon (Complied 2019),Wagon,7.0,2018-10,2019-01,5N1DR2MN3KC589549,1XL4BO,VIC,22-06-2025 - Registration will only be transferred to the registered bidder who must hold a valid VIC Drivers Licence otherwise vehicle will be sold unregistered.,2.0,6.0,3.5,Petrol,CVT,127245,km,White,Black,Yes,No,No,Yes,Yes,VIC,https://www.grays.com/lot/0001-21050868/motor-vehicles-motor-cycles/2018-nissan-pathfinder-st-r52-cvt-7-seats-wagon-complied-2019,Dents or marks on body consistent with age and kilometres.,"Air Conditioning, Bluetooth Capability, CD Player, Central Locking, Climate Control, Cruise Control, Driver Airbag, Electric Windows, Hill Holder System, MP3 Capability, Park Distance Control Rear, Power Steering, Reversing Camera, Roof Rail, Third Row Seat, Crash Test Star Rating 5, Location: 140-152 National Drive, Dandenong South, VIC, 3175, Key No: 1015 (349703)",,,,sold,146.0,"$12,450",2025-06-26
2013,Toyota,Rav,4 AWD Cruiser ASA44R Automatic Wagon,Wagon,5.0,2013-06,2013-06,JTMDFREV20D023765,ZWT275,VIC,15-07-2025 - Registration will only be transferred to the registered bidder who must hold a valid VIC Drivers Licence otherwise vehicle will be sold unregistered.,2.0,4.0,2.5,Petrol,Automatic,153601,km,Black,Black,Yes,Yes,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21050869/motor-vehicles-motor-cycles/2013-toyota-rav-4-awd-cruiser-asa44r-automatic-wagon,"Dents or marks on body consistent with age and kilometres.
Medium Scratch on Various along panel.","Air Conditioning, Auto Control, Bluetooth Capability, CD Player, Central Locking, Climate Control, Cruise Control, Driver Airbag, Electric Windows, Heated Front Seats, Hill Holder System, Leather Trim, MP3 Capability, Park Distance Control Rear, Power Steering, Reversing Camera, Roof Rail, Sunroof, Crash Test Star Rating 5, Location: 140-152 National Drive, Dandenong South, VIC, 3175, Key No: 41 (349631)",,,,sold,175.0,"$13,000",2025-06-26
